Player,Year1,Year2,Year3,Retire,NextPercentile
Deon Yelder,0.1988950276243093,0.3225225225225225,0.3741007194244604,1,
Tom Crabtree,0.1950207468879668,0.3869047619047619,0.6845124282982792,0,0.6798418972332015
David Frisch,0.0727762803234501,0.0833333333333333,0.0871670702179176,0,0.1602870813397129
Phil Mcconkey,0.2241813602015113,0.584,0.8242574257425742,0,0.8752079866888519
Ka Deem Carey,0.1613545816733067,0.3627450980392157,0.5678776290630975,1,
Kenneth Davis,0.0693069306930693,0.2695507487520798,0.264,0,0.349740932642487
Troy Walters,0.0327102803738317,0.0257611241217798,0.2869757174392936,0,0.6756198347107438
Ottis Anderson,0.3678474114441417,0.5872576177285319,0.6948228882833788,0,0.5931232091690545
Steve Howell,0.0899182561307901,0.1551246537396121,0.103542234332425,1,
Hugh Mckinnis,0.0468085106382978,0.4681647940074906,0.5979020979020979,0,0.659375
Pete Banaszak,0.0375,0.3526315789473684,0.4158878504672897,0,0.4851063829787234
Sean Morey,0.1832993890020366,0.1820040899795501,0.3811563169164882,0,0.504149377593361
Blake Jarwin,0.3202247191011236,0.6132596685082873,0.7513513513513513,0,0.658273381294964
Mark Kellar,0.121875,0.1069182389937107,0.1008902077151335,1,
Cody Davis,0.2274509803921568,0.2466539196940726,0.2,0,0.0093632958801498
James Hodgins,0.0523917995444191,0.0771028037383177,0.243559718969555,0,0.2891832229580574
Wayne Patrick,0.49375,0.7263157894736842,0.6962616822429907,1,
Donovan Peoples Jones,0.3711711711711711,0.6942446043165468,0.8851224105461394,0,0.8509803921568627
Joe Mcknight,0.1473029045643153,0.4067460317460317,0.5908221797323135,0,0.4822134387351778
Deion Branch,0.5298013245033113,0.8347107438016529,0.9144602851323828,0,0.9386503067484664
Chris Thompson,0.1215139442231075,0.3549019607843137,0.615678776290631,0,0.7941747572815534
Terrence Flagler,0.2512479201331115,0.3493333333333333,0.4300518134715025,0,0.4285714285714285
Mosi Tatupu,0.0435967302452316,0.0941828254847645,0.2479564032697547,0,0.1747851002865329
Ike Hill,0.2473684210526315,0.2570093457943925,0.3957446808510638,0,0.4606741573033708
Leon Bright,0.2861035422343324,0.4154727793696275,0.5663956639566395,1,
Kirk Botkin,0.1961259079903147,0.3181818181818182,0.5012165450121655,1,
Lamont Warren,0.1510416666666666,0.4164648910411622,0.5550239234449761,0,0.583941605839416
Devante Parker,0.3980392156862745,0.7934990439770554,0.9067961165048544,0,0.8801498127340824
Mike Williams 3,0.2372188139059304,0.4346895074946467,0.5892116182572614,0,0.3278350515463917
Greg Hawthorne,0.1171662125340599,0.3019390581717451,0.3760217983651226,0,0.66189111747851
Joe Valerio,0.1482479784366576,0.40625,0.5544794188861986,1,
Jonathan Stewart,0.1051546391752577,0.3305785123966942,0.5124481327800829,0,0.7103174603174603
Rod Mcneill,0.1573033707865168,0.444055944055944,0.4875,1,
Ben Ellefson,0.1297297297297297,0.1474820143884892,0.3427495291902072,1,
Chad Owens,0.0388548057259713,0.0428265524625267,0.0497925311203319,1,
Danny Fulton,0.1553133514986376,0.113573407202216,0.4114441416893733,0,0.2664756446991404
