Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Retire,NextPercentile
Thomas Sanders,0.1225806451612903,0.5555555555555556,0.8290909090909091,0.6948051948051948,0.5454545454545454,0.4342105263157895,0.4178082191780822,1,
Barry Sanders,0.3961038961038961,0.868421052631579,0.9931506849315068,0.9926470588235294,0.9925373134328358,0.9928571428571428,1.0,0,1.0
Macarthur Lane,0.9878048780487804,0.9887640449438202,0.9722222222222222,0.8512396694214877,0.9064748201438848,0.85,0.9281045751633988,0,0.821656050955414
Hubert Ginn,0.024390243902439,0.1123595505617977,0.4444444444444444,0.4793388429752066,0.5323741007194245,0.35,0.3660130718954248,0,0.3184713375796178
Giovani Bernard,0.4464285714285714,0.8128654970760234,0.9441340782122905,0.946236559139785,0.918032786885246,0.8297872340425532,0.7938144329896907,0,0.7302325581395349
Kenyan Drake,0.2741935483870967,0.6229508196721312,0.8670212765957447,0.8865979381443299,0.8976744186046511,0.8761467889908257,0.803921568627451,0,0.6384180790960452
Curtis Brown 3,0.1401273885350318,0.3963414634146341,0.7674418604651163,0.8604651162790697,0.6807228915662651,0.5272727272727272,0.360759493670886,1,
Wayne Wilson,0.0813953488372093,0.2848837209302325,0.6144578313253012,0.8606060606060606,0.8291139240506329,0.8765432098765432,0.8193548387096774,0,0.6842105263157895
Marshall Faulk,0.5928571428571429,0.915032679738562,0.9788732394366196,0.9466666666666668,0.9736842105263158,1.0,1.0,0,1.0
Eddie Lee Ivery,0.127906976744186,0.5290697674418605,0.7469879518072289,0.9212121212121211,0.8164556962025317,0.9444444444444444,0.9161290322580644,0,0.953216374269006
Tony Collins,0.1927710843373494,0.7090909090909091,0.8227848101265823,0.8641975308641975,0.7677419354838709,0.8128654970760234,0.8872727272727273,1,
Wendell Tyler,0.2420382165605095,0.3170731707317073,0.7325581395348837,0.7151162790697675,0.9096385542168676,0.9333333333333332,0.9746835443037974,0,0.9567901234567902
Marion Barber,0.1948051948051948,0.6993464052287581,0.9668874172185432,0.967741935483871,0.961783439490446,0.8636363636363636,0.7619047619047619,1,
Patrick Pass,0.0709677419354838,0.2397260273972602,0.4834437086092715,0.5379746835443038,0.5329341317365269,0.5714285714285714,0.5163398692810458,1,
Damien Williams,0.239766081871345,0.3631284916201117,0.6720430107526881,0.7049180327868853,0.7925531914893617,0.8144329896907216,0.6604651162790698,0,0.6055045871559633
Spencer Ware,0.1071428571428571,0.0994152046783625,0.4748603351955307,0.6935483870967742,0.6939890710382514,0.6276595744680851,0.4329896907216495,1,
Eddie George,0.528169014084507,0.8133333333333334,0.9144736842105264,0.9006211180124224,0.9161290322580644,0.863013698630137,0.8410596026490066,0,0.7911392405063291
Merril Hoge,0.2654545454545454,0.448051948051948,0.7727272727272727,0.9276315789473684,0.9452054794520548,0.875,0.8955223880597015,0,0.7785714285714286
Blaine Gabbert,0.0,0.0,0.0059523809523809,0.2456140350877192,0.3128491620111732,0.3817204301075269,0.2896174863387978,0,0.2127659574468085
Marv Hubbard,0.3292682926829268,0.7078651685393258,0.8240740740740741,0.9008264462809916,0.9136690647482014,0.8357142857142857,0.5751633986928104,0,0.4777070063694267
Eric Dickerson,0.6012658227848101,0.9691358024691358,0.9935483870967742,0.95906432748538,0.9745454545454544,0.9935064935064936,0.974025974025974,0,0.9144736842105264
Timmy Newsome,0.0872093023255814,0.144578313253012,0.5757575757575758,0.740506329113924,0.7962962962962963,0.7483870967741936,0.7777777777777778,0,0.8654545454545455
Rickey Young,0.3785714285714285,0.7712418300653595,0.9363057324840764,0.9573170731707316,0.9825581395348836,0.9709302325581396,0.8795180722891566,0,0.7818181818181819
