Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Retire,NextPercentile
Anthony Becht,0.3235294117647059,0.363941018766756,0.4154435226547543,0.3967861557478368,0.3536585365853658,0.1644498186215235,0.2715751357875678,0.1310303752233472,0.1502403846153846,0.1919856459330143,0.1996466431095406,0.2905569007263922,1,
Jonathan Babineaux,0.5773881499395405,0.7091128545564273,0.8201310303752234,0.8509615384615384,0.9055023923444976,0.9352179034157831,0.9013317191283292,0.893719806763285,0.8579988016776513,0.8765652951699463,0.8540059347181009,0.8029325513196481,1,
Keith Traylor,0.2100371747211896,0.2049335863377609,0.2022684310018903,0.2235494880546075,0.342512908777969,0.6013400335008375,0.6254071661237784,0.6162246489859594,0.7875,0.8458445040214477,0.8449266113592853,0.7985166872682324,0,0.6890243902439024
Taiwan Jones,0.4824455205811138,0.5295893719806763,0.6381066506890354,0.5831842576028623,0.5792284866468843,0.4967741935483871,0.5589442815249267,0.5473130841121495,0.5029585798816568,0.4609421586165772,0.4667832167832167,0.5284646348476135,0,0.4832935560859188
Corey Harris,0.1825938566552901,0.3029259896729776,0.288107202680067,0.1872964169381107,0.296411856474259,0.6338235294117647,0.6154411764705883,0.1970509383378016,0.2164879356568364,0.5201021059349075,0.5960433950223357,0.6007416563658838,0,0.5296662546353523
Brandon King,0.1012956419316843,0.259685230024213,0.2940821256038647,0.2540443379269023,0.0429338103756708,0.5507418397626113,0.5900293255131965,0.5934579439252337,0.5266272189349113,0.4859868813357185,0.4370629370629371,0.4036802760207015,1,
Jack Ham,0.2627737226277372,0.867816091954023,0.914572864321608,0.9411764705882352,0.7443946188340808,0.6970954356846473,0.610236220472441,0.7132352941176471,0.6480836236933798,0.6204620462046204,0.6809815950920245,0.8165137614678899,1,
Andre Smith,0.1472320376914016,0.2433414043583535,0.4975845410628019,0.5050928699820252,0.4865831842576029,0.2189910979228486,0.1196480938416422,0.1226635514018691,0.1816568047337278,0.2331360946745562,0.2033392963625521,0.2033392963625521,0,0.4102564102564102
Robert Mathis,0.7243510506798516,0.949390243902439,0.994558645707376,0.9993964996982498,0.9976176295413935,0.9957932692307692,0.9952153110047848,0.9935217903415784,0.9897094430992736,0.977657004830918,0.9988016776512882,0.9785330948121646,0,0.9798219584569732
Hollis Thomas,0.1703958691910499,0.5125628140703518,0.6775244299674267,0.7020280811232449,0.8904411764705882,0.8887399463806971,0.8474792597319719,0.6631644004944376,0.5768292682926829,0.6305925030229746,0.7145443572721787,0.7701012507444908,0,0.7439903846153846
Julius Peppers,0.8500319081046586,0.9400494437577256,0.996341463414634,0.9957678355501812,0.9981894990947496,0.980345443716498,0.9933894230769232,0.9958133971291866,0.997055359246172,0.9939467312348668,0.9897342995169082,0.9898142600359496,0,0.9988073941562312
Cullen Jenkins,0.6670731707317074,0.7430471584038694,0.8533494266747134,0.8284693269803455,0.8227163461538461,0.8660287081339713,0.8769140164899882,0.8861985472154964,0.839975845410628,0.8831635710005992,0.8521168753726893,0.8225519287833828,0,0.7319648093841642
Josh Norman2,0.6491545893719807,0.6680647094068305,0.8115682766845558,0.9560830860534124,0.9917888563049854,0.9853971962616822,0.9804733727810652,0.9457364341085271,0.9562937062937062,0.9614721104082806,0.928400954653938,0.8517587939698492,1,
John Parrella,0.079696394686907,0.1153119092627599,0.2013651877133105,0.3149741824440619,0.4455611390284757,0.498371335504886,0.6505460218408736,0.8941176470588236,0.9121983914209116,0.8685386088066369,0.7311495673671199,0.6591463414634147,1,
Mike Scifres,0.0797280593325092,0.1310975609756097,0.2430471584038694,0.188292094146047,0.1113758189398451,0.0757211538461538,0.104066985645933,0.2114252061248527,0.1937046004842615,0.1968599033816425,0.1791491911324146,0.0649970184853905,0,0.1643916913946587
Bertrand Berry,0.4120521172638436,0.5195007800312013,0.75,0.6776139410187667,0.7351627313337588,0.9048207663782448,0.9829268292682928,0.9836759371221282,0.9686179843089922,0.8820726622989875,0.8870192307692307,0.867822966507177,1,
Josh Thomas,0.4786585365853658,0.6299879081015719,0.6716958358479179,0.7027992852888624,0.6604567307692307,0.6190191387559809,0.519434628975265,0.4782082324455206,0.5984299516908212,0.6866387058118634,0.6535480023852117,0.5875370919881305,0,0.3648093841642228
Charles Mann,0.2138613861386138,0.5231660231660231,0.789279112754159,0.9191176470588236,0.9464285714285714,0.8339622641509434,0.8686679174484052,0.7879924953095685,0.9287054409005628,0.8550185873605948,0.7855787476280834,0.444234404536862,1,
James Hall,0.5588235294117647,0.7446380697050938,0.8359923420548819,0.907911001236094,0.975,0.9776299879081016,0.9607724803862402,0.8749255509231686,0.8485576923076923,0.8438995215311005,0.9575971731448764,0.9479418886198548,1,
Louis Wright,0.2286995515695067,0.4024896265560166,0.8228346456692913,0.7867647058823529,0.7979094076655052,0.4422442244224422,0.2239263803680981,0.4954128440366973,0.7623762376237624,0.8648648648648649,0.8539741219963032,0.8143382352941176,1,
John Denney,0.3446191051995163,0.5015087507543754,0.5080405002977963,0.5090144230769231,0.4383971291866029,0.4487632508833922,0.4364406779661017,0.5277777777777778,0.5841821449970042,0.5951103160405486,0.542433234421365,0.4944281524926686,0,0.4158878504672897
Chris Canty,0.1021775544388609,0.2068403908794788,0.3822152886115444,0.6808823529411765,0.6394101876675603,0.4913848117421825,0.0210135970333745,0.0274390243902439,0.6463119709794438,0.692214846107423,0.7927337701012508,0.7776442307692307,0,0.7691387559808612
Trevor Pryce,0.1490787269681742,0.5,0.8065522620904836,0.9727941176470588,0.9758713136729222,0.9661774090619016,0.938195302843016,0.8810975609756098,0.8301088270858524,0.8648159324079662,0.8868374032162001,0.8828125,0,0.8199760765550239
Jim Kleinsasser,0.2588235294117647,0.2158176943699732,0.1646458200382897,0.2484548825710754,0.1701219512195122,0.2726723095525997,0.1804465902232951,0.2346634901727218,0.2001201923076923,0.2188995215311004,0.163133097762073,0.2052058111380145,1,
