Player,Year1,Year2,Year3,Retire,NextPercentile
Kenny Watson,0.3973509933774834,0.3670886075949367,0.5688622754491018,0,0.2077922077922078
Rob Konrad,0.2795031055900621,0.4193548387096774,0.6438356164383562,0,0.4768211920529801
Allen Robinson,0.3563829787234042,0.654639175257732,0.8372093023255814,1,
Jaylen Samuels,0.3138297872340425,0.5051546391752577,0.6046511627906976,0,0.4174311926605504
Derek Brown,0.3805970149253731,0.5714285714285714,0.8366013071895425,0,0.5352112676056338
Lamar Miller,0.2389937106918239,0.6011904761904762,0.9005847953216374,0,0.9608938547486032
Archie Griffin,0.3333333333333333,0.6114649681528662,0.8475609756097561,0,0.8953488372093024
Henry Hynoski,0.10062893081761,0.1309523809523809,0.3216374269005848,1,
Leroy Hoard,0.1184210526315789,0.6986301369863014,0.8455882352941176,0,0.8805970149253731
Mike Davis,0.0949720670391061,0.2150537634408602,0.4371584699453552,0,0.6170212765957447
Keith Woodside,0.1818181818181818,0.5909090909090909,0.8026315789473685,0,0.8013698630136986
Johnny Hector,0.1962025316455696,0.5493827160493827,0.7096774193548387,0,0.8362573099415205
Joe Carter,0.1975308641975308,0.3225806451612903,0.4912280701754385,1,
Jonathan Linton,0.2105263157894736,0.4472049689440994,0.5290322580645161,1,
Keith Toston,0.1038961038961039,0.1564625850340136,0.3270440251572327,1,
Jackie Battle,0.0662251655629139,0.0903225806451612,0.267515923566879,0,0.2857142857142857
Blair Thomas,0.3618421052631579,0.7123287671232876,0.7867647058823529,0,0.6492537313432836
Shaun Draughn,0.2264150943396226,0.2976190476190476,0.327485380116959,0,0.2960893854748603
Eric Lane 2,0.0240963855421686,0.0424242424242424,0.0316455696202531,0,0.3209876543209876
Chuck Evans,0.0522388059701492,0.1857142857142857,0.4313725490196078,0,0.3943661971830985
Bill Johnson 2,0.1032258064516129,0.4385964912280701,0.7563636363636363,1,
Ricky Ervins,0.3904109589041096,0.6544117647058824,0.7611940298507462,0,0.8
Fozzy Whittaker,0.2202380952380952,0.4678362573099415,0.6145251396648045,0,0.6182795698924731
Peyton Hillis,0.2903225806451613,0.4713375796178344,0.6623376623376623,0,0.7006802721088435
