Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Retire,NextPercentile
Matt Jones,0.1390568319226118,0.1804465902232951,0.1715306730196545,0.134014423076923,0.104066985645933,0.1065959952885747,0.0405569007263922,0.0440821256038647,0,0.0437387657279808
Fred Dean,0.3503937007874015,0.3713235294117647,0.3484320557491289,0.0462046204620462,0.0552147239263803,0.536697247706422,0.8415841584158416,0.8513513513513513,0,0.7375231053604436
Kyle Kosier,0.0727504786215698,0.1279357231149567,0.3390243902439024,0.3839177750906892,0.3747736873868437,0.2715902322811197,0.1604567307692307,0.2314593301435406,0,0.1472320376914016
Jack Crawford,0.2904589371980676,0.4985020970641102,0.6326774001192605,0.7097922848664688,0.7741935483870968,0.7219626168224299,0.8053254437869822,0.774597495527728,0,0.8397435897435898
Max Unger,0.1429425837320574,0.1472320376914016,0.1937046004842615,0.1739130434782608,0.231276213301378,0.1419200954084675,0.1643916913946587,0.1401759530791788,0,0.1226635514018691
Byron Bell,0.1035108958837772,0.2741545893719807,0.2588376273217495,0.2540250447227191,0.2456973293768546,0.2545454545454545,0.2348130841121495,0.2366863905325443,1,
Cole Beasley,0.1068840579710145,0.1378070701018574,0.1419200954084675,0.1643916913946587,0.1401759530791788,0.2348130841121495,0.1893491124260355,0.1878354203935599,0,0.1165501165501165
Rodney Thomas~,0.1716981132075471,0.2626641651031895,0.3320825515947467,0.1688555347091932,0.0594795539033457,0.064516129032258,0.0699432892249527,0.0631399317406143,0,0.06368330464716
Phillip Daniels,0.1669535283993115,0.4053601340033501,0.745928338762215,0.8408736349453978,0.9330882352941176,0.9416890080428956,0.9234205488194002,0.92274412855377,0,0.7981707317073171
Charlie Weaver,0.057471264367816,0.4271356783919598,0.6225490196078431,0.6816143497757847,0.6721991701244814,0.5236220472440944,0.6066176470588235,0.519163763066202,0,0.5676567656765676
