Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Keith Lyle,9,2,10,5.0,10,0,1.0,5.0
Rick Lyle,16,0,0,0.0,0,0,1.0,5.0
John Lynch,16,2,32,16.0,28,0,0.5,1.0
Billy Lyon,16,1,0,0.0,0,0,2.0,9.5
Sam Madison,16,7,164,23.43,42,1,0.0,0.0
Mike Mamula,16,1,41,41.0,41,1,8.5,75.0
Brock Marion,16,2,30,15.0,28,0,1.0,0.0
Emanuel Martin,7,1,0,0.0,0,0,0.0,0.0
Steve Martin,16,0,0,0.0,0,0,2.0,9.0
Wayne Martin,16,0,0,0.0,0,0,4.5,28.5
Lonnie Marts,16,1,10,10.0,10,0,2.0,10.0
Russell Maryland,16,1,2,2.0,2,0,1.5,13.0
Chris McAlister,16,5,28,5.6,21,0,0.0,0.0
Gerald McBurrows,16,2,64,32.0,41,0,1.0,14.0
Dexter McCleon,15,4,17,4.25,14,0,1.5,6.5
J.J. McCleskey,16,1,2,2.0,2,0,0.0,0.0
Hurvin McCormack,13,0,0,0.0,0,0,2.0,7.0
Michael McCrary,16,0,0,0.0,0,0,11.5,75.5
Daylon McCutcheon,16,1,12,12.0,12,0,1.0,8.0
Ed McDaniel,16,0,0,0.0,0,0,2.0,6.0
Ramos McDonald,9,1,4,4.0,4,0,0.0,0.0
Ricardo McDonald,16,0,0,0.0,0,0,0.5,4.5
Tim McDonald,16,2,18,9.0,18,0,2.0,18.0
Blaine McElmurry,16,1,26,26.0,26,0,0.0,0.0
Anthony McFarland,14,0,0,0.0,0,0,1.0,6.0
Willie McGinest,16,0,0,0.0,0,0,9.0,59.5
Chester McGlockton,16,1,30,30.0,30,0,1.5,4.0
Keith McKenzie,16,0,0,0.0,0,0,8.0,72.0
Mike McKenzie,16,6,4,0.67,4,0,0.0,0.0
Ronald McKinnon,16,1,0,0.0,0,0,1.0,10.0
Mark McMillian,15,2,24,12.0,24,0,1.5,11.5
Ryan McNeil,16,0,0,0.0,0,0,1.0,3.0
R.W. McQuarters,11,1,25,25.0,25,0,0.0,0.0
Ray Mickens,15,2,2,1.0,2,0,2.0,21.0
Arnold Miller,9,0,0,0.0,0,0,1.0,3.0
Corey Miller,5,1,0,0.0,0,0,0.0,0.0
Jamir Miller,15,0,0,0.0,0,0,4.5,24.0
Lawyer Milloy,16,4,17,4.25,17,0,2.0,17.0
Charles Mincy,16,2,23,11.5,21,0,0.0,0.0
Barry Minter,16,2,66,33.0,34,1,3.0,22.0
Mike Minter,16,3,69,23.0,44,0,1.0,2.0
Brandon Mitchell,16,0,0,0.0,0,0,3.0,13.0
Donald Mitchell,16,1,42,42.0,42,1,0.0,0.0
Keith Mitchell,16,3,22,7.33,18,0,3.5,23.5
Mike Mohring,16,0,0,0.0,0,0,2.0,11.0
Alex Molden,13,1,2,2.0,2,0,0.0,0.0
Damon Moore,16,1,28,28.0,28,0,0.0,0.0
Sean Moran,16,0,0,0.0,0,0,0.5,3.5
Greg Myers,12,1,0,0.0,0,0,0.0,0.0
Jim Nelson,16,1,0,0.0,0,0,0.0,0.0
Anthony Newman,16,2,16,8.0,16,0,0.0,0.0
Dat Nguyen,16,1,6,6.0,6,0,1.0,13.0
Hardy Nickerson,16,2,18,9.0,18,0,0.5,1.0
Brandon Noble,16,0,0,0.0,0,0,3.0,16.0
Gabe Northern,16,0,0,0.0,0,0,3.5,15.5
Ken Norton,16,0,0,0.0,0,0,1.0,10.0
Eric Ogbogu,14,0,0,0.0,0,0,1.0,7.0
Chike Okeafor,12,0,0,0.0,0,0,1.0,4.0
Chris Oldham,15,1,9,9.0,9,0,3.0,21.0
Leslie O'Neal,16,0,0,0.0,0,0,5.5,33.0
Chuck Osborne,16,0,0,0.0,0,0,1.0,10.5
Brad Ottis,14,0,0,0.0,0,0,1.0,7.0
Dan Owens,8,0,0,0.0,0,0,1.0,7.0
Rich Owens,16,0,0,0.0,0,0,8.5,63.0
Riddick Parker,16,0,0,0.0,0,0,2.0,11.0
John Parrella,16,0,0,0.0,0,0,5.5,36.5
Tony Parrish,16,1,41,41.0,41,0,0.0,0.0
Marvcus Patton,16,1,0,0.0,0,0,6.5,39.0
Bryce Paup,15,0,0,0.0,0,0,1.0,13.0
Seth Payne,16,0,0,0.0,0,0,1.5,5.5
Marlo Perry,16,0,0,0.0,0,0,1.5,6.5
Jason Peter,9,0,0,0.0,0,0,4.5,26.5
Mike Peterson,16,0,0,0.0,0,0,3.0,23.0
Roman Phifer,16,2,20,10.0,16,0,4.5,34.0
Joe Phillips,16,0,0,0.0,0,0,1.0,3.0
Ryan Phillips,16,1,0,0.0,0,0,0.0,0.0
Kavika Pittman,16,0,0,0.0,0,0,3.0,22.0
Anthony Pleasant,16,0,0,0.0,0,0,2.0,13.0
Tyrone Poole,15,3,85,28.33,38,0,1.0,5.0
Marquez Pope,16,2,15,7.5,13,0,0.0,0.0
Robert Porcher,15,0,0,0.0,0,0,15.0,106.5
Joey Porter,16,0,0,0.0,0,0,2.0,15.0
Jeff Posey,16,0,0,0.0,0,0,2.0,16.0
Darryl Pounds,16,3,37,12.33,25,0,1.0,13.0
Shawn Price,15,0,0,0.0,0,0,2.5,18.0
Mike Pringley,9,0,0,0.0,0,0,1.5,7.0
Kelvin Pritchett,16,0,0,0.0,0,0,1.0,10.0
Trevor Pryce,15,1,0,0.0,0,0,13.0,75.0
Wali Rainer,16,0,0,0.0,0,0,1.0,11.0
John Randle,16,1,1,1.0,1,0,10.0,57.0
Thomas Randolph,15,1,0,0.0,0,0,0.0,0.0
Derrick Ransom,10,0,0,0.0,0,0,1.0,9.0
Ike Reese,16,0,0,0.0,0,0,3.0,27.0
Izell Reese,8,3,28,9.33,24,0,0.0,0.0
Ron Rice,16,5,82,16.4,33,0,1.0,17.0
Simeon Rice,16,0,0,0.0,0,0,16.5,105.5
