Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Solo Tackles,Tackle Assists,Total Tackles,Sacks,Sack Loss Yards Caused
Kris Jenkins,16,0,0,0.0,0,0,37,15,52,3.5,20.5
Jay Richardson,16,0,0,0.0,0,0,38,14,52,3.0,24.0
Aaron Ross,15,3,58,19.33,50,1,46,6,52,0.0,0.0
Julius Peppers,16,0,0,0.0,0,0,40,11,51,14.5,82.5
Jay Ratliff,16,0,0,0.0,0,0,33,18,51,7.5,56.5
Richard Seymour,15,0,0,0.0,0,0,34,17,51,8.0,50.0
Matt Wilhelm,16,1,8,8.0,8,0,41,10,51,0.0,0.0
Sheldon Brown,16,1,23,23.0,23,0,42,9,51,1.0,7.0
Albert Haynesworth,14,0,0,0.0,0,0,41,10,51,8.5,52.5
Corey Ivy,16,0,0,0.0,0,0,46,5,51,2.5,7.0
Mathias Kiwanuka,16,0,0,0.0,0,0,34,17,51,8.0,60.5
Will Allen,16,3,62,20.67,32,1,42,8,50,1.0,11.0
Quinton Culberson,16,0,0,0.0,0,0,40,10,50,0.0,0.0
Darnell Dockett,16,0,0,0.0,0,0,37,13,50,4.0,21.0
Anthony Henry,16,1,0,0.0,0,0,39,11,50,2.0,19.0
Corey Webster,16,3,65,21.67,57,0,48,2,50,1.0,3.0
Corey Williams,16,0,0,0.0,0,0,33,17,50,0.5,4.5
Usama Young,15,2,3,1.5,3,0,42,8,50,0.0,0.0
Sabby Piscitelli,15,2,106,53.0,84,0,41,8,49,0.0,0.0
Nick Barnett,9,0,0,0.0,0,0,41,8,49,0.0,0.0
Kevin Carter,16,0,0,0.0,0,0,28,21,49,4.0,17.0
Johnny Jolly,16,0,0,0.0,0,0,36,13,49,0.0,0.0
Kalimba Edwards,14,0,0,0.0,0,0,41,7,48,5.0,25.0
Vincent Fuller,16,0,0,0.0,0,0,37,11,48,0.0,0.0
Ryan Pickett,16,0,0,0.0,0,0,26,22,48,1.5,6.0
Joey Porter,16,0,0,0.0,0,0,37,11,48,17.5,96.0
Pat Thomas,12,0,0,0.0,0,0,33,15,48,0.5,4.5
Robert Mathis,15,0,0,0.0,0,0,36,11,47,11.5,66.5
Victor Adeyanju,16,0,0,0.0,0,0,40,7,47,2.0,11.0
Brodrick Bunkley,16,0,0,0.0,0,0,34,13,47,2.0,1.0
Ellis Hobbs,16,3,0,0.0,4,0,39,8,47,1.5,9.5
Marlin Jackson,7,0,0,0.0,0,0,41,6,47,0.0,0.0
Chris Kelsay,16,0,0,0.0,0,0,33,14,47,2.0,18.0
Glenn Dorsey,16,0,0,0.0,0,0,32,14,46,1.0,1.0
Aubrayo Franklin,16,0,0,0.0,0,0,33,13,46,1.0,6.0
Vonnie Holliday,16,0,0,0.0,0,0,29,17,46,3.5,14.0
Travis Kirschke,16,0,0,0.0,0,0,30,16,46,2.0,11.0
Justin Bannan,16,1,0,0,30,15,45,1.0,6.0
Fakhir Brown,13,1,16,16.0,16,0,41,4,45,1.0,4.0
Morlon Greenwood,15,0,0,0.0,0,0,31,14,45,0.0,0.0
Rodney Harrison,6,1,0,0.0,0,0,27,18,45,0.0,0.0
Manny Lawson,14,0,0,0.0,0,0,33,12,45,3.0,8.0
D.D. Lewis,14,0,0,0.0,0,0,36,9,45,0.0,0.0
Jon McGraw,16,1,4,4.0,4,0,36,9,45,0.0,0.0
Marcus Stroud,16,0,0,0.0,0,0,29,16,45,2.5,13.0
Juqua Parker,16,1,55,55.0,55,1,33,12,45,5.0,27.0
Terrell Thomas,12,1,13,13.0,13,0,39,6,45,0.0,0.0
Anthony Weaver,16,1,8,8.0,8,0,28,17,45,0.0,0.0
Marcus Washington,10,0,0,0.0,0,0,25,19,44,0.0,0.0
Pat Williams,14,0,0,0.0,0,0,31,13,44,1.0,4.0
Mike Adams,14,2,18,9.0,18,0,36,8,44,0.0,0.0
Champ Bailey,9,1,0,0.0,0,0,39,5,44,1.0,5.0
Alex Brown,16,1,0,0,42,2,44,6.0,43.0
Barry Cofield,15,0,0,0.0,0,0,32,12,44,3.0,14.0
Chris Crocker,14,1,22,22.0,22,0,35,9,44,1.5,10.5
James Hall,16,0,0,0.0,0,0,37,7,44,6.5,47.5
John Henderson,14,0,0,0.0,0,0,34,10,44,2.0,10.0
Fred Bennett,16,2,26,13.0,23,0,35,8,43,0.0,0.0
Kevin Dockery,13,1,44,44.0,44,0,37,6,43,0.0,0.0
Chris Hovan,15,0,0,0.0,0,0,36,7,43,1.0,6.0
David Jones,14,0,0,0.0,0,0,36,7,43,0.0,0.0
Damione Lewis,15,0,0,0.0,0,0,33,10,43,3.5,15.5
Dominique Rodgers-Cromartie,16,4,157,39.25,99,1,39,4,43,0.0,0.0
Mike Patterson,16,1,21,21.0,21,0,28,14,42,0.5,4.5
Madieu Williams,9,2,0,0,38,4,42,0.0,0.0
Keyunta Dawson,14,0,0,0.0,0,0,21,21,42,0.0,0.0
Kelvin Hayden,10,3,135,45.0,85,1,36,6,42,0.0,0.0
Kelly Jennings,16,0,0,0.0,0,0,36,6,42,0.0,0.0
Johnathan Joseph,8,1,22,22.0,22,0,31,11,42,0.0,0.0
