Player,Year1,Year2,Year3,Year4,Retire,NextPercentile
Branden Oliver,0.4561403508771929,0.5921787709497207,0.6290322580645161,0.360655737704918,1,
Brandon Bennett,0.2368421052631578,0.2360248447204969,0.5225806451612903,0.4520547945205479,0,0.6556291390728477
Brandon Bolden,0.2515723270440251,0.5952380952380952,0.6842105263157895,0.6703910614525139,0,0.4623655913978494
Brandon Jackson,0.1788079470198675,0.4451612903225806,0.6114649681528662,0.6428571428571429,0,0.5034013605442177
Brandon Jacobs,0.1753246753246753,0.477124183006536,0.7682119205298014,0.8516129032258064,0,0.89171974522293
Brandon Powell,0.0904255319148936,0.1134020618556701,0.2744186046511628,0.110091743119266,0,0.3480392156862745
Brent Fullwood,0.4,0.4285714285714285,0.7532467532467533,0.7105263157894737,1,
Brent Mcclanahan,0.0909090909090909,0.316546762589928,0.5571428571428572,0.6993464052287581,0,0.7961783439490446
Brian Hill,0.1639344262295081,0.4468085106382978,0.6649484536082474,0.772093023255814,1,
Brian Hoyer,0.0828025477707006,0.0714285714285714,0.0816326530612244,0.2830188679245283,0,0.3928571428571428
Brian Leonard,0.1655629139072847,0.232258064516129,0.464968152866242,0.5324675324675324,0,0.7074829931972789
Brian Milne,0.1338028169014084,0.2933333333333333,0.5723684210526315,0.6708074534161491,0,0.6129032258064516
Brian Mitchell 2,0.131578947368421,0.3219178082191781,0.6323529411764706,0.7014925373134329,0,0.8928571428571429
Brian Westbrook,0.1324503311258278,0.689873417721519,0.940119760479042,0.9935064935064936,0,0.9869281045751634
Bruce Harper,0.3439490445859872,0.5853658536585366,0.8081395348837209,0.8662790697674418,0,0.8614457831325302
Bruce Miller,0.2448979591836734,0.440251572327044,0.6428571428571429,0.5906432748538012,0,0.6983240223463687
Bryan Johnson 2,0.0397350993377483,0.1518987341772152,0.155688622754491,0.1688311688311688,1,
Bryce Brown,0.2767295597484276,0.6071428571428571,0.7076023391812866,0.5642458100558659,1,
Bubba Bean,0.3071895424836601,0.4012738853503185,0.6280487804878049,0.5523255813953488,1,
Buford Jordan,0.1637426900584795,0.6181818181818182,0.5714285714285714,0.6623376623376623,0,0.5
Buford Mcgee,0.2962962962962963,0.4516129032258064,0.6549707602339181,0.6945454545454546,0,0.487012987012987
Butch Woolfolk,0.2787878787878788,0.5126582278481012,0.6358024691358025,0.6774193548387096,0,0.7134502923976608
C J Anderson,0.1845238095238095,0.7017543859649122,0.88268156424581,0.9516129032258064,0,0.912568306010929
C J Prosise,0.2956989247311828,0.4316939890710382,0.4574468085106383,0.2989690721649484,0,0.0790697674418604
C J Spiller,0.1168831168831168,0.5102040816326531,0.9245283018867924,0.9702380952380952,0,0.9473684210526316
Cadillac Williams,0.3246753246753247,0.5555555555555556,0.695364238410596,0.5161290322580645,0,0.6624203821656051
Calvin Thomas,0.006060606060606,0.0886075949367088,0.3580246913580246,0.5161290322580645,0,0.6198830409356725
Cameron Artis Payne,0.2346368715083799,0.3763440860215054,0.6010928961748634,0.5904255319148937,1,
Carl Garrett,0.6951219512195121,0.8539325842696629,0.8888888888888888,0.9090909090909092,0,0.841726618705036
Carl Monroe,0.1139240506329113,0.4753086419753086,0.4645161290322581,0.3859649122807017,0,0.6327272727272727
Carlos Hyde,0.2046783625730994,0.435754189944134,0.7150537634408602,0.825136612021858,0,0.7978723404255319
Carwell Gardner,0.0197368421052631,0.1232876712328767,0.3529411764705882,0.4776119402985074,0,0.6285714285714286
Cecil Martin,0.093167701863354,0.3354838709677419,0.4863013698630137,0.4039735099337748,1,
Cecil Sapp,0.0316455696202531,0.2874251497005988,0.4415584415584415,0.5882352941176471,0,0.5761589403973509
Cedric Benson,0.1038961038961039,0.457516339869281,0.6357615894039735,0.7741935483870968,0,0.8280254777070064
Cedric Peerman,0.0324675324675324,0.1292517006802721,0.5094339622641509,0.5,0,0.4912280701754385
Cedric Smith,0.0328947368421052,0.0205479452054794,0.0147058823529411,0.0,0,0.2785714285714286
Chad Morton,0.1935483870967742,0.1917808219178082,0.2649006622516556,0.3417721518987341,0,0.3892215568862275
Charcandrick West,0.3743016759776536,0.6397849462365591,0.7978142076502732,0.6968085106382979,1,
Charles Alexander,0.1860465116279069,0.4418604651162791,0.6987951807228916,0.806060606060606,0,0.7341772151898734
Charles Sims,0.0701754385964912,0.5418994413407822,0.7043010752688172,0.7868852459016393,1,
Charles Way,0.130718954248366,0.3732394366197183,0.7,0.8289473684210527,0,0.8260869565217391
Charles White,0.1860465116279069,0.4277108433734939,0.7878787878787878,0.5316455696202531,0,0.4382716049382716
