Player,Year1,Year2,Year3,Year4,Year5,Year6,Retire,NextPercentile
Chris Johnson,0.5419354838709678,0.9681528662420382,1.0,0.9931972789115646,0.9622641509433962,0.9285714285714286,0,0.9298245614035088
Chris Ogbonnaya,0.1656050955414012,0.2012987012987013,0.3673469387755102,0.4276729559748428,0.7380952380952381,0.631578947368421,1,
Chris Thompson,0.0760233918128654,0.4525139664804469,0.7258064516129032,0.8633879781420765,0.8031914893617021,0.7422680412371134,0,0.5627906976744186
Chris Warren 2,0.1710526315789473,0.2808219178082192,0.6470588235294118,0.7686567164179104,0.9785714285714284,0.9869281045751634,0,0.9859154929577464
Christian Okoye,0.5745454545454546,0.5324675324675324,0.8246753246753247,0.7894736842105263,0.8493150684931506,0.6985294117647058,1,
Christine Michael,0.125,0.3859649122807017,0.5977653631284916,0.7795698924731183,0.5846994535519126,0.4308510638297872,1,
Chuck Evans,0.0522388059701492,0.1857142857142857,0.4313725490196078,0.3943661971830985,0.4666666666666667,0.4473684210526316,0,0.6273291925465838
Chuck Foreman,0.5289256198347108,0.935251798561151,1.0,1.0,0.9936305732484076,0.9878048780487804,0,0.9244186046511628
Chuck Muncie,0.3529411764705882,0.7070063694267515,0.902439024390244,0.9476744186046512,0.9418604651162792,0.9578313253012049,0,0.9757575757575756
Clarence Davis,0.3595505617977528,0.6111111111111112,0.7851239669421488,0.8201438848920863,0.8285714285714286,0.8562091503267973,0,0.8598726114649682
Clarence Harmon,0.2738853503184713,0.4146341463414634,0.7558139534883721,0.9011627906976744,0.8373493975903614,0.8121212121212121,1,
Clark Gaines,0.4901960784313725,0.8089171974522293,0.8902439024390244,0.813953488372093,0.7267441860465116,0.572289156626506,0,0.2727272727272727
Cleo Miller,0.2949640287769784,0.3642857142857142,0.5882352941176471,0.7261146496815286,0.8292682926829268,0.8023255813953488,0,0.6104651162790697
Cleveland Franklin,0.0,0.0792682926829268,0.1046511627906976,0.2732558139534883,0.2228915662650602,0.3818181818181818,1,
Cleveland Gary,0.0649350649350649,0.6052631578947368,0.7534246575342466,0.8897058823529411,0.7761194029850746,0.6785714285714286,1,
Clinton Portis,0.5960264900662252,0.9493670886075948,0.9820359281437124,0.974025974025974,0.9215686274509804,0.913907284768212,0,0.8774193548387097
Corey Clement,0.3497267759562841,0.4840425531914893,0.5,0.2790697674418604,0.3486238532110092,0.5098039215686274,1,
Corey Dillon,0.5466666666666666,0.875,0.9751552795031057,0.9741935483870968,0.9794520547945206,0.9536423841059604,0,0.8860759493670886
Correll Buckhalter,0.2328767123287671,0.2781456953642384,0.5822784810126582,0.3413173652694611,0.2987012987012987,0.2026143790849673,0,0.5364238410596026
Cory Schlesinger,0.0065359477124183,0.0140845070422535,0.1133333333333333,0.2894736842105263,0.391304347826087,0.6064516129032258,0,0.7602739726027398
Craig Heyward,0.2532467532467532,0.4155844155844156,0.7302631578947368,0.678082191780822,0.7794117647058824,0.6716417910447762,0,0.7214285714285714
Cullen Bryant,0.0503597122302158,0.45,0.5294117647058824,0.6369426751592356,0.6158536585365854,0.6976744186046512,0,0.8837209302325582
Curt Warner,0.5063291139240507,0.6851851851851852,0.9096774193548388,0.9239766081871345,0.9854545454545456,0.9805194805194806,0,0.8766233766233766
Curtis Brown 3,0.1401273885350318,0.3963414634146341,0.7674418604651163,0.8604651162790697,0.6807228915662651,0.5272727272727272,0,0.360759493670886
Curtis Dickey,0.4069767441860465,0.8493975903614458,0.9090909090909092,0.8987341772151899,0.7407407407407407,0.6645161290322581,0,0.6140350877192983
Curtis Martin,0.5098039215686274,0.908450704225352,0.98,0.9407894736842104,0.9565217391304348,0.9806451612903224,0,0.9931506849315068
Daimon Shelton,0.0066666666666666,0.125,0.2670807453416149,0.3935483870967742,0.1301369863013698,0.0596026490066225,0,0.0063291139240506
Dalton Hilliard,0.2807017543859649,0.7418181818181818,0.8246753246753247,0.9545454545454546,0.9210526315789472,0.8424657534246576,0,0.6029411764705882
Damien Williams,0.239766081871345,0.3631284916201117,0.6720430107526881,0.7049180327868853,0.7925531914893617,0.8144329896907216,0,0.6604651162790698
Dan Doornink,0.1829268292682926,0.5348837209302325,0.7965116279069767,0.8433734939759037,0.8181818181818182,0.759493670886076,0,0.7592592592592593
