Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Retire,NextPercentile
Bruce Irvin,0.7155797101449275,0.8190533253445177,0.9528920691711388,0.9643916913946587,0.992375366568915,0.9842289719626168,0.983431952662722,0.9540846750149076,0.8537296037296037,0.7636572742955722,0.6193317422434368,0,0.6105527638190955
Bruce Smith,0.4140480591497227,0.7775735294117647,0.988095238095238,0.9886792452830188,0.9774859287054408,1.0,0.9943714821763602,0.9944237918215614,0.9411764705882352,0.9924385633270322,0.9948805460750854,0,0.9982788296041308
Bryan Cox1,0.0806754221388367,0.3828996282527881,0.5199240986717267,0.5311909262759924,0.5477815699658704,0.4440619621342513,0.4840871021775544,0.4104234527687296,0.4976599063962558,0.8191176470588235,0.8089812332439679,0,0.763241863433312
Bryan Robinson,0.0854271356783919,0.1661237785016286,0.3884555382215288,0.7463235294117647,0.8619302949061662,0.8659859604339503,0.823238566131026,0.7396341463414634,0.6668681983071342,0.7254073627036813,0.7510422870756402,0,0.7524038461538461
Bryan Thomas,0.4588385449904276,0.6186650185414091,0.699390243902439,0.7521160822249093,0.8624019312009656,0.8790946992257296,0.939903846153846,0.9084928229665072,0.9334511189634864,0.8317191283292978,0.768719806763285,1,
Bryant Young,0.3345935727788279,0.5392491467576792,0.7986230636833046,0.7839195979899497,0.8729641693811075,0.8299531981279251,0.9477941176470588,0.9148793565683646,0.8710912571793236,0.8065512978986403,0.8176829268292682,0,0.8935912938331319
C.J. Wilson,0.3382966051220964,0.3695913461538461,0.4318181818181818,0.4681978798586572,0.5206124852767963,0.5587167070217918,0.6382850241545893,0.639904134212103,0.5961653684841223,0.3476446034585569,0.3977340488968396,0,0.4961424332344213
Calvin Pace,0.5896168108776267,0.7402439024390244,0.7666263603385731,0.79963789981895,0.8767123287671232,0.9795673076923076,0.9922248803827752,0.9864546525323912,0.9642857142857144,0.928743961352657,0.9478729778310364,0,0.9039952295766248
Cam Newton,0.1856106408706166,0.2371756185878093,0.228707564026206,0.0865384615384615,0.0370813397129186,0.0400471142520612,0.1035108958837772,0.1165458937198067,0.2354703415218693,0.2778771615980918,0.3590504451038576,0,0.3607038123167155
Cameron Wake,0.6770334928229665,0.9051825677267372,0.943099273607748,0.980072463768116,0.9586578789694428,0.988670244484198,0.9780415430267062,0.9953079178885632,0.9830607476635514,0.9775147928994082,0.8574836016696482,1,
Carl Banks,0.2258687258687258,0.354898336414048,0.71875,0.9553571428571428,0.958490566037736,0.9587242026266416,0.8311444652908068,0.8480300187617261,0.6672862453531598,0.6603415559772297,0.5595463137996219,0,0.5784982935153583
Carl Hairston,0.1023102310231023,0.0766871165644171,0.4701834862385321,0.6356435643564357,0.6158301158301158,0.5841035120147874,0.7132352941176471,0.9642857142857144,0.9452830188679244,0.8818011257035647,0.551594746716698,1,
Carl Lee,0.4910891089108911,0.583011583011583,0.7707948243992606,0.7242647058823529,0.8377976190476191,0.9415094339622642,0.9136960600375236,0.9080675422138836,0.6022514071294559,0.6988847583643123,0.7229601518026565,0,0.7088846880907372
Carlos Dunlap,0.7308598351001178,0.8286924939467313,0.957729468599034,0.982025164769323,0.992248062015504,0.9899109792284868,0.9912023460410556,0.9865654205607476,0.9792899408284024,0.975551580202743,0.9493006993006992,0,0.944220816561242
Carlos Emmons,0.2013769363166953,0.1892797319932998,0.5749185667752443,0.7472698907956318,0.9352941176470588,0.8987935656836461,0.8691767708998086,0.861557478368356,0.8798780487804878,0.8373639661426844,0.8111044055522028,1,
Carnell Lake,0.4690431519699812,0.6135084427767354,0.7279549718574109,0.5966542750929368,0.8273244781783681,0.9092627599243857,0.9215017064846416,0.9259896729776248,0.9581239530988276,0.9592833876221498,0.8767550702028081,0,0.8286764705882353
Carson Palmer,0.0975609756097561,0.1590084643288996,0.2933011466505733,0.2817153067301965,0.2854567307692308,0.263755980861244,0.3292108362779741,0.3093220338983051,0.3345410628019323,0.3457159976033553,0.3613595706618962,0,0.3543026706231454
Casey Hampton,0.5951742627345844,0.7409061901723037,0.7787391841779975,0.7536585365853659,0.6729141475211609,0.6904043452021726,0.7290053603335319,0.71875,0.7452153110047847,0.7720848056537103,0.7554479418886199,0,0.7028985507246377
Casey Hayward,0.803743961352657,0.8118633912522468,0.9409660107334524,0.8652818991097923,0.9736070381231672,0.9532710280373832,0.9514792899408284,0.8670244484197973,0.8001165501165501,0.8027602070155262,0.736873508353222,1,
Casey Wiegmann,0.175,0.1595174262734584,0.177409061901723,0.2058096415327565,0.2359756097560975,0.2073760580411124,0.2208811104405552,0.2048838594401429,0.3118990384615384,0.3068181818181818,0.3091872791519434,0,0.1937046004842615
Chad Brown,0.1062618595825427,0.440453686200378,0.5870307167235495,0.7831325301204819,0.6767169179229481,0.7166123778501629,0.5538221528861155,0.8441176470588235,0.8981233243967829,0.91959157626037,0.9165636588380716,0,0.8347560975609756
Chad Williams,0.7511167836630505,0.8362175525339925,0.952439024390244,0.9111245465538088,0.904043452021726,0.7605717689100655,0.6760817307692307,0.0370813397129186,0.0400471142520612,0.0405569007263922,0.0440821256038647,0,0.0437387657279808
Champ Bailey,0.6006240249609984,0.8985294117647059,0.9550938337801608,0.9004467134652202,0.8856613102595797,0.8695121951219512,0.966142684401451,0.9903439951719976,0.9934484812388328,0.9645432692307692,0.8941387559808612,0,0.8716136631330977
Chandler Jones,0.7506038647342995,0.914919113241462,0.975551580202743,0.9910979228486648,0.9964809384164224,0.9982476635514018,0.9976331360946744,1.0,0.9953379953379954,0.9976998274870617,0.9659904534606204,1,
Charles Dimry,0.3151969981238274,0.5140712945590994,0.774859287054409,0.6914498141263941,0.5939278937381404,0.4839319470699433,0.6143344709897611,0.6092943201376936,0.6683417085427136,0.6905537459283387,0.6349453978159126,1,
Charles Haley,0.6231617647058824,0.8005952380952381,0.9339622641509434,0.9380863039399624,0.9812382739212008,0.9606003752345216,0.79182156133829,0.7020872865275142,0.831758034026465,0.9061433447098975,0.8588640275387264,0,0.5209380234505863
Charles Johnson2,0.3102941176470588,0.2607238605898123,0.4116145500957243,0.3980222496909765,0.3658536585365853,0.0326481257557436,0.0325890162945081,0.2263251935675997,0.7175480769230769,0.833732057416268,0.9381625441696112,0,0.9382566585956416
Charles Mann,0.2138613861386138,0.5231660231660231,0.789279112754159,0.9191176470588236,0.9464285714285714,0.8339622641509434,0.8686679174484052,0.7879924953095685,0.9287054409005628,0.8550185873605948,0.7855787476280834,0,0.444234404536862
Charles Tillman,0.7669962917181706,0.8164634146341463,0.9740024183796856,0.976463488231744,0.9940440738534844,0.9855769230769232,0.9898325358851676,0.9958775029446408,0.9987893462469734,1.0,1.0,0,0.9856887298747764
Charles Woodson,0.6221498371335505,0.7425897035881436,0.9595588235294118,0.9343163538873994,0.9495851946394384,0.927070457354759,0.9506097560975608,0.9189842805320436,0.95956547978274,0.973198332340679,0.9987980769230768,0,0.998803827751196
Charlie Waters,0.8484848484848485,0.8175182481751825,0.9770114942528736,0.9899497487437184,0.9803921568627452,0.9103139013452914,0.8132780082987552,0.8149606299212598,0.7610294117647058,0.6027874564459931,0.7788778877887789,0,0.7423312883435583
Chester McGlockton,0.0929368029739776,0.3263757115749525,0.5255198487712666,0.636518771331058,0.5851979345955249,0.5025125628140703,0.3859934853420195,0.3556942277691107,0.6875,0.7801608579088471,0.7772814294830888,0,0.7404202719406675
Chidi Ahanotu,0.206831119544592,0.3440453686200378,0.5017064846416383,0.5628227194492255,0.7152428810720268,0.6465798045602605,0.641185647425897,0.8227941176470588,0.8666219839142091,0.8596043395022336,0.8096415327564895,0,0.8115853658536586
