Player,Year1,Year2,Year3,Year4,Year5,Retire,NextPercentile
Benjarvus Green Ellis,0.2371134020618556,0.2809917355371901,0.4460580912863071,0.5257936507936508,0.6137667304015296,0,0.5810276679841897
Bennie Cunningham,0.171875,0.5220125786163522,0.7359050445103857,0.8337874659400545,0.8005540166204986,0,0.8419618528610354
Bennie Fowler,0.2823529411764706,0.5372848948374761,0.7320388349514563,0.7228464419475655,0.7090239410681399,0,0.5207207207207207
Benny Cunningham,0.1146245059288537,0.4322709163346613,0.6607843137254902,0.6730401529636711,0.6388349514563106,0,0.5861423220973783
Benny Malone,0.1048689138576779,0.3986013986013986,0.546875,0.5345911949685535,0.4451038575667655,0,0.5040871934604905
Bernard Berrian,0.2953156822810591,0.5766871165644172,0.8201284796573876,0.8941908713692946,0.954639175257732,0,0.9545454545454546
Bernard Henry,0.2521489971346705,0.5989159891598916,0.7758186397984886,0.6986666666666667,0.4653465346534653,0,0.5590682196339434
Bernard Scott,0.1756198347107438,0.3526970954356846,0.4543650793650793,0.3212237093690248,0.1719367588932806,1,
Bernie Parmalee,0.0161725067385444,0.3125,0.4963680387409201,0.5717703349282297,0.6180048661800487,0,0.5216346153846154
Bert Emanuel,0.5104166666666666,0.7990314769975787,0.9473684210526316,0.9440389294403893,0.9471153846153846,0,0.8678815489749431
Bilal Powell,0.1011904761904761,0.3365200764818356,0.5968379446640316,0.6553784860557769,0.703921568627451,0,0.7323135755258127
Bill Brooks,0.7103960396039604,0.9351081530782028,0.984,0.961139896373057,0.9568733153638814,0,0.9560723514211886
Bill Larson,0.1713286713286713,0.1875,0.1729559748427672,0.0178041543026706,0.0108991825613079,0,0.1052631578947368
Bill Ring,0.1662125340599455,0.4040114613180516,0.4986449864498645,0.4559193954659949,0.3546666666666667,0,0.2722772277227723
Bill Schroeder,0.0754257907542579,0.4495192307692308,0.7608200455580866,0.8901869158878505,0.9391100702576112,0,0.958057395143488
Billy Bajema,0.1533742331288343,0.1413276231263383,0.1659751037344398,0.1505154639175257,0.3863636363636363,0,0.529045643153527
Billy Brooks,0.26875,0.7641509433962265,0.8931750741839762,0.9182561307901907,0.6925207756232687,0,0.438692098092643
Billy Campfield,0.1691394658753709,0.3596730245231607,0.5789473684210527,0.555858310626703,0.5873925501432665,0,0.5284552845528455
Billy Joe Dupree,0.5531914893617021,0.8127340823970037,0.8636363636363636,0.878125,0.8459119496855346,0,0.9109792284866468
Billy Johnson,0.5243445692883895,0.7272727272727273,0.9,0.8962264150943396,0.8219584569732937,0,0.6975476839237057
Billy Masters,0.375,0.6789473684210526,0.7850467289719626,0.7787234042553192,0.5880149812734082,0,0.5699300699300699
Billy Mcmullen,0.0764462809917355,0.1221995926680244,0.3599182004089979,0.6381156316916489,0.5975103734439834,0,0.4865979381443299
Billy Miller,0.1913439635535307,0.2453271028037383,0.2365339578454332,0.6004415011037527,0.7665289256198347,0,0.7983706720977597
Billy Parks,0.7315789473684211,0.780373831775701,0.9361702127659576,0.8689138576779026,0.7622377622377622,1,
Billy Sims,0.5401662049861495,0.784741144414169,0.8681948424068768,0.8590785907859079,0.7052896725440806,1,
Billy Van Heusen,0.8,0.6368421052631579,0.6635514018691588,0.5106382978723404,0.7490636704119851,0,0.7937062937062938
Billy Waddy,0.4276729559748428,0.6320474777448071,0.7929155313351499,0.8365650969529086,0.7547683923705722,1,
Blair Thomas,0.1320754716981132,0.2971576227390181,0.3619302949061662,0.2830188679245283,0.203125,0,0.2179176755447942
Blake Bell,0.2215686274509803,0.4569789674952199,0.570873786407767,0.4887640449438202,0.4511970534069981,0,0.5135135135135135
Bo Matthews,0.2059925093632958,0.3426573426573426,0.459375,0.4339622641509434,0.4154302670623145,0,0.3705722070844686
Bo Rather,0.5468164794007491,0.8076923076923077,0.83125,0.789308176100629,0.6053412462908012,1,
Bo Robinson,0.1716621253405994,0.1301939058171745,0.0653950953678474,0.2063037249283667,0.2926829268292683,0,0.4886649874055415
Bo Scaife,0.2862985685071574,0.5738758029978587,0.7427385892116183,0.7814432989690722,0.7954545454545454,0,0.7717842323651453
Bob Bruer,0.2861035422343324,0.260387811634349,0.2833787465940054,0.3839541547277937,0.6124661246612466,1,
Bob Chandler,0.1947368421052631,0.6682242990654206,0.851063829787234,0.8614232209737828,0.902097902097902,0,0.946875
Bob Christian,0.1994609164420485,0.4609375,0.6222760290556901,0.4401913875598086,0.1411192214111922,0,0.1971153846153846
Bob Gresham,0.4052631578947368,0.5841121495327103,0.7276595744680852,0.6367041198501873,0.472027972027972,0,0.25625
Bob Moore,0.1210526315789473,0.3177570093457944,0.6553191489361702,0.8052434456928839,0.8181818181818182,0,0.76875
Bob Parsons,0.0607476635514018,0.2382978723404255,0.3370786516853932,0.5384615384615384,0.453125,1,
Bob Perryman,0.1414309484193011,0.1226666666666666,0.3393782383419689,0.4150943396226415,0.5555555555555556,0,0.4128686327077748
Bob Trumpy,0.83125,0.9052631578947368,0.9392523364485982,0.9531914893617022,0.9101123595505618,0,0.8566433566433567
Bob Tucker,0.91875,0.9736842105263158,0.9813084112149532,0.9872340425531916,0.9850187265917604,0,0.9475524475524476
Bobby Duckworth,0.4183381088825215,0.7289972899728997,0.9168765743073048,0.9226666666666666,0.8712871287128713,1,
Bobby Engram,0.284688995215311,0.5182481751824818,0.8317307692307693,0.8747152619589977,0.8551401869158879,0,0.7822014051522248
Bobby Jones,0.1127596439169139,0.4768392370572207,0.6149584487534626,0.7057220708446866,0.5444126074498568,0,0.7100271002710027
Bobby Rainey,0.108695652173913,0.3306772908366533,0.4490196078431372,0.5315487571701721,0.4718446601941747,1,
Bobby Shaw,0.4236902050113895,0.6939252336448598,0.8548009367681498,0.8830022075055187,0.9070247933884298,0,0.8411405295315683
Bobby Wade,0.2933884297520661,0.4887983706720977,0.5828220858895705,0.6680942184154176,0.7323651452282157,0,0.8309278350515464
Boobie Clark,0.4936170212765957,0.6779026217228464,0.8041958041958042,0.740625,0.6132075471698113,0,0.4599406528189911
Boston Scott,0.2007366482504604,0.4594594594594595,0.5629496402877698,0.4425612052730697,0.4058823529411764,1,
Brad Baxter,0.1266846361185983,0.330749354005168,0.4584450402144772,0.3396226415094339,0.2708333333333333,0,0.3026634382566586
Brad Hoover,0.0514018691588785,0.2529274004683841,0.4613686534216336,0.5268595041322314,0.5621181262729125,0,0.523517382413088
Brad Muster,0.2346666666666666,0.5181347150259067,0.7277628032345014,0.7545219638242894,0.7721179624664879,0,0.7439353099730458
Brad Smith,0.1691648822269807,0.5186721991701245,0.6061855670103092,0.6012396694214877,0.4481327800829875,0,0.5555555555555556
Brandon Bennett,0.2860576923076923,0.337129840546697,0.4228971962616822,0.3138173302107728,0.3951434878587196,0,0.5206611570247934
Brandon Bolden,0.135755258126195,0.3656126482213438,0.3884462151394422,0.5,0.4493307839388145,0,0.566990291262136
Brandon Gibson,0.2004132231404958,0.6161825726141079,0.7996031746031746,0.9024856596558316,0.8774703557312253,0,0.8107569721115537
Brandon Jackson,0.2199170124481327,0.4329896907216495,0.6714876033057852,0.7448132780082988,0.5833333333333334,0,0.5564053537284895
Brandon Jacobs,0.2376873661670235,0.4460580912863071,0.5092783505154639,0.5289256198347108,0.4771784232365145,0,0.6150793650793651
Brandon Jones 4,0.3169734151329243,0.6723768736616702,0.7883817427385892,0.8041237113402062,0.7169421487603306,1,
Brandon Lafell,0.3838174273858921,0.75,0.8986615678776291,0.9110671936758892,0.9203187250996016,0,0.9176470588235294
Brandon Lloyd,0.3677685950413223,0.6863543788187373,0.8752556237218814,0.8736616702355461,0.7572614107883817,0,0.6639175257731958
Brandon Manumaleuna,0.1733021077283372,0.4591611479028697,0.6714876033057852,0.7087576374745418,0.6421267893660532,0,0.569593147751606
Brandon Marshall,0.3019271948608137,0.7800829875518672,0.9278350515463918,0.981404958677686,0.9813278008298756,0,0.984126984126984
Brandon Myers,0.0971074380165289,0.2406639004149377,0.4484126984126984,0.7571701720841301,0.8596837944664032,0,0.850597609561753
Brandon Pettigrew,0.2851239669421487,0.7178423236514523,0.8948412698412699,0.8718929254302104,0.7964426877470355,0,0.5876494023904383
Brandon Stokley,0.3690205011389522,0.6378504672897196,0.8056206088992974,0.8167770419426048,0.7975206611570248,0,0.8859470468431772
Brandon Tate,0.0495867768595041,0.3589211618257261,0.365079365079365,0.5946462715105163,0.3379446640316205,0,0.5936254980079682
Braylon Edwards,0.4601226993865031,0.841541755888651,0.9626556016597512,0.977319587628866,0.9586776859504132,0,0.9543568464730292
Brent Celek,0.2842323651452282,0.6103092783505155,0.8925619834710744,0.921161825726141,0.9583333333333334,0,0.9216061185468452
Brent Jones,0.4126455906821963,0.3573333333333333,0.6994818652849741,0.7897574123989218,0.8397932816537468,0,0.8498659517426274
Brent Mcclanahan,0.1123595505617977,0.4370629370629371,0.646875,0.7484276729559748,0.6409495548961425,0,0.5231607629427792
Brent Novoselsky,0.1476683937823834,0.1617250673854447,0.2635658914728682,0.3002680965147453,0.2776280323450135,0,0.3567708333333333
Breshad Perriman,0.4302103250478011,0.5514563106796116,0.7715355805243446,0.8250460405156538,0.8936936936936937,0,0.8687050359712231
Brett Perriman,0.2986666666666667,0.616580310880829,0.816711590296496,0.8708010335917312,0.8900804289544236,0,0.8706199460916442
Brian Baschnagel,0.628125,0.660377358490566,0.7299703264094956,0.6403269754768393,0.7313019390581718,0,0.8092643051771117
Brian Blades,0.5653333333333334,0.8290155440414507,0.908355795148248,0.9043927648578812,0.8525469168900804,0,0.8814016172506739
