Player,Year1,Year2,Year3,Retire,NextPercentile
Charlie Whitehurst,0.1011235955056179,0.0425531914893617,0.0333333333333333,0,0.0120481927710843
Chase Daniel,0.0813953488372093,0.2875,0.6756756756756757,0,0.7714285714285715
Chris Chandler,0.1529411764705882,0.4878048780487805,0.6962025316455697,0,0.5131578947368421
Chris Miller,0.2890625,0.388235294117647,0.7195121951219512,0,0.8227848101265823
Chris Redman,0.2111111111111111,0.1463414634146341,0.3734939759036144,0,0.1686746987951807
Chris Simms,0.1529411764705882,0.3793103448275862,0.550561797752809,0,0.3723404255319149
Chris Streveler,0.1408450704225352,0.3243243243243243,0.4189189189189189,1,
Chris Weinke,0.1707317073170731,0.3253012048192771,0.2771084337349397,0,0.0705882352941176
Christian Ponder,0.1125,0.4189189189189189,0.5428571428571428,0,0.581081081081081
Chuck Fusina,0.0869565217391304,0.4929577464788732,0.4366197183098591,0,0.3703703703703703
Chuck Long,0.2,0.5625,0.5529411764705883,0,0.5853658536585366
Cleo Lemon,0.247191011235955,0.4042553191489361,0.4888888888888889,1,
Cliff Stoudt,0.2753623188405797,0.380281690140845,0.5070422535211268,0,0.5185185185185185
Clint Longley,0.3846153846153846,0.5,0.6551724137931034,1,
Cody Carlson,0.0941176470588235,0.2560975609756097,0.5949367088607594,0,0.6052631578947368
Cody Kessler,0.0833333333333333,0.2328767123287671,0.4705882352941176,1,
Colin Kaepernick,0.0625,0.4459459459459459,0.7428571428571429,0,0.7567567567567568
Colt Mccoy,0.2906976744186046,0.425,0.6081081081081081,0,0.6285714285714286
Craig Erickson,0.1625,0.4430379746835443,0.8024691358024691,0,0.8181818181818182
Craig Nall,0.0,0.3058823529411765,0.3333333333333333,0,0.3595505617977528
Craig Penrose,0.1379310344827586,0.3174603174603174,0.4769230769230769,0,0.3538461538461538
Curtis Painter,0.0240963855421686,0.0348837209302325,0.125,0,0.0945945945945946
Damon Huard,0.2134831460674157,0.3932584269662921,0.6111111111111112,0,0.4024390243902439
Dan Fouts,0.2051282051282051,0.6730769230769231,0.8269230769230769,0,0.8793103448275862
Dan Manucci,0.3333333333333333,0.2112676056338028,0.2535211267605634,0,0.0246913580246913
Dan Marino,0.4074074074074074,0.9047619047619048,0.9878048780487804,0,1.0
Dan Mcgwire,0.0526315789473684,0.15,0.2784810126582278,0,0.2839506172839506
Dan Orlovsky,0.1379310344827586,0.146067415730337,0.1063829787234042,0,0.1666666666666666
Dan Pastorini,0.2666666666666666,0.4615384615384615,0.6410256410256411,0,0.7307692307692307
Danny Kanell,0.0777777777777777,0.3111111111111111,0.4382022471910112,0,0.5056179775280899
Danny White,0.2586206896551724,0.365079365079365,0.6615384615384615,0,0.5384615384615384
Danny Wuerffel,0.1444444444444444,0.3033707865168539,0.4719101123595505,0,0.3555555555555555
Daryle Lamonica,1.0,0.9333333333333332,0.9743589743589745,0,0.7435897435897436
Daunte Culpepper,0.0112359550561797,0.5,0.7560975609756098,0,0.9156626506024096
Dave Brown,0.0875,0.0759493670886076,0.2469135802469135,0,0.4772727272727273
Dave Krieg,0.0144927536231884,0.2957746478873239,0.4929577464788732,0,0.7037037037037037
Dave Mays,0.0862068965517241,0.3809523809523809,0.5230769230769231,1,
Dave Wilson,0.0845070422535211,0.0985915492957746,0.345679012345679,0,0.3571428571428571
David Archer,0.2976190476190476,0.4268292682926829,0.7058823529411765,0,0.71875
David Blough,0.1267605633802817,0.2535211267605634,0.3108108108108108,0,0.2567567567567567
David Carr,0.0,0.144578313253012,0.4705882352941176,0,0.6666666666666666
David Fales,0.0416666666666666,0.2602739726027397,0.3676470588235294,0,0.2394366197183098
David Garrard,0.1325301204819277,0.3734939759036144,0.6705882352941176,0,0.8045977011494253
