PLAYER,YEARS_REVEALED,YARDS,RECEPTIONS,YARDS PER RECEPTION,RECEPTIONS PER TARGET,TOUCHDOWNS,20+,40+,LONG,RECEIVING 1ST DOWNS,1ST DOWN %,FUMBLES,YARDS AFTER CATCH,TARGETS,HOWGOOD RAW SCORE,PERCENTILE,ACTUAL_REMAINING_SEASONS,PREDICTED_REMAINING_SEASONS,RETIREMENT_DIFFERENCE,MEAN_PERCENTILE_DIFFERENCE
Stanley Morgan,3,0.012800199733049045,0.0281940855584266,0.12708333333333333,0.15555555555555556,0.0,0.0,0.0,0.05234567901234568,0.0,0.0,0.0,0.0130991919071389,0.014743486218776912,0.403821531318626,0.05187390180434419,1,1,0,0.05977828256353505
Stanley Morgan 2,3,1.1137386736695651,0.7551881771511643,0.6731703700764053,0.0,0.5492063492063491,0.0,0.0,0.6454712737681456,0.0,0.0,0.0,0.0,0.0,3.7367748438716295,0.7721663419520639,11,7,-4,-0.04919104753195723
Stanley Morgan 2,4,1.6687493580021946,1.123311923442084,0.8988198653036034,0.0,0.8476190476190476,0.0,0.0,0.8880256252981668,0.0,0.0,0.0,0.0,0.0,5.4265258196650965,0.9310715493598585,10,6,-4,-0.04858182641961911
Stanley Morgan 2,5,2.000667328356111,1.3480272900653953,1.01820668073871,0.0,1.0825396825396825,0.06209150326797386,0.09722222222222222,0.9944163505153079,0.08616780045351474,0.19200000000000003,-0.1111111111111111,0.0,0.0,6.770227747047806,0.9817592166275433,9,5,-4,-0.030125463501035378
Stanley Morgan 2,6,2.1106545651863002,1.4094607306949163,1.0074564788894635,0.0,1.0198412698412698,0.19208424110384895,0.3055555555555556,1.0406613756613758,0.26698580666834637,0.5664444444444444,-0.2222222222222222,0.0,0.0,7.6969222458232975,0.9888379598383259,8,5,-3,-0.04538492715576843
Stanley Morgan 2,7,2.0678556781090776,1.445048996811661,0.9671276574357175,0.0,0.8650793650793651,0.3776325344952796,0.5416666666666667,1.0361707336334203,0.5395912524967046,1.0864444444444443,-0.6666666666666666,0.0,0.0,8.25995066250567,0.9835179989748207,7,3,-4,-0.03245615533469078
Stanley Morgan 2,8,1.959717257542778,1.4621643191068157,0.9050601969813257,0.0,0.6785714285714286,0.47719226579520696,0.625,1.041984126984127,0.7192261767831126,1.427111111111111,-0.8888888888888888,0.0,0.0,8.407137993987018,0.972808705614308,6,2,-4,-0.014124390020866073
Stanley Morgan 2,9,1.7822046634679694,1.4342722168809126,0.8649627386174713,0.0,0.5952380952380952,0.4965050835148874,0.5277777777777778,0.9329033460019375,0.783634763620961,1.5851111111111111,-1.222222222222222,0.0,0.0,7.780387574008902,0.9535180338537222,5,2,-3,-0.06998270758856251
Stanley Morgan 2,10,1.783667046325075,1.4476294476294476,0.8661445437599208,0.0,0.6825396825396826,0.5084104938271605,0.4305555555555555,0.8546867625506123,0.8380795823428674,1.6504444444444446,-0.8888888888888888,0.0,0.0,8.173268670085879,0.9593293873467951,4,2,-2,-0.071880918089674
Stanley Morgan 2,11,1.8830539626058427,1.5256419817535487,0.8547634443928908,0.0,0.753968253968254,0.5487535612535612,0.38425925925925924,0.7414674151412992,0.9223012240746794,1.6928888888888889,-0.6666666666666666,0.0,0.0,8.640431324671557,0.9710995828368194,3,2,-1,-0.048828091974641996
Stanley Morgan 2,12,1.9811699585918081,1.619027652989917,0.80772000767809,0.0,0.8134920634920635,0.571812678062678,0.3657407407407407,0.6673466945807983,1.0155249234196602,1.746888888888889,-0.2222222222222222,0.0,0.0,9.366501386222422,0.9870995828368194,2,1,-1,-0.03963027235943439
